Assamese_Sentence	English_Translation
ইফালে আৰক্ষীৰ এক শীর্ষ সূত্রই সদৰী কৰা তথ্য অনুসৰি পাৰিবাৰিক সংঘাতৰ বাবেই কেয়াৰটেকাৰ আকাশে বৰুৱা দম্পতীক হত্যা কৰিছিল৷	Meanwhile, a top police source said that the caretaker, Akash, killed the couple over a family dispute.
যিকোনো প্ৰকাৰে এই সমষ্টিৰ পৰা বিজেপি প্ৰাৰ্থীগৰাকীক জয়ী কৰাবলৈ হিমন্ত বিশ্ব শৰ্মাই উঠি-পৰি লাগিছে।	In any case, Himanta Biswa Sarma is going all out to ensure the victory of the BJP candidate from this constituency.
নন হটস্পতৰ তালিকাত অসমৰ ৭খন জিলা অন্তৰ্ভুক্ত কৰা হৈছে।	7 districts of Assam have been included in the list of non-hotspots.
বিলাসীপাৰা মহকুমাৰ ভিতৰুৱা দুৰ্গম চৰাঞ্চলৰ প্ৰাণকেন্দ্ৰ নায়েৰ আলগাত শিক্ষকগৰাকীয়ে ভণ্ড চিকিৎসকৰূপ লৈ দীৰ্ঘ দিনৰ পৰাই ভুল চিকিৎসাৰ ব্যৱসায় চলাই অহাৰ অভিযোগ উঠিছে।	The teacher has been allegedly running a fake medical business for a long time by posing as a fake doctor in Nayer Alga, an interior remote grazing area in Bilasipara subdivision.
সেয়েহে পদপথৰ লগতে জহি–খহি যোৱা পদপথৰ ঢাকনি মেৰামতি কৰিবলৈ লোকনির্মাণ বিভাগৰ লগতে ৰাইজে জি এম চি কর্তৃপক্ষক আহ্বান জনাইছে৷	Hence, the Public Works Department as well as the public have urged the GMC authorities to repair the leaking lid of the footpaths along with the footpaths.
বৰ্তমানে খাৰকীভ আৰু ছুমীৰ বিভিন্ন বাংকাৰৰ ভিতৰত আবদ্ধ হৈ থকা ভাৰতৰ ছাত্র-ছাত্ৰীসকলক শীঘ্ৰে উদ্ধাৰ কৰি আনিবলৈ আহ্বান ছাত্ৰ দৰ্শনে।	Chhatra Darshan calls for the immediate rescue of students from India who are currently trapped inside various bunkers in Kharkiv and Sumy.
বহু কোচ্চিং প্ৰতিষ্ঠানে প্ৰচাৰ চলাই তেওঁলোকৰ তাত কোচ্চিং লোৱা ১০০ শতাংশ ছাত্ৰ-ছাত্ৰীয়েই JEE বা NEET পৰীক্ষাত সফলতা অৰ্জন কৰিছে।	Many coaching institutes advertise that 100% of their students who take coaching in them have cleared the JEE or NEET exams.
হাইস্কুল শিক্ষান্ত পৰীক্ষাৰ ফলাফলৰ সময়তহে এইবোৰ কথা আলোচনা হয়।	These are discussed only during the results of high school examinations.
সাংবাদিকক তেওঁ প্ৰাক্তন মুখ্যমন্ত্ৰী তৰুণ গগৈক ৰাজনীতিৰ কথা সোধাতকৈ কেতিয়া গীতা-ভাগৱত পঢ়িব সেই প্ৰশ্ন কৰিবলৈ আহ্বান জনায়।	He urged the journalist to ask former Chief Minister Tarun Gogoi when he would read the Gita-Bhagavatam instead of asking about politics.
দুপৰীয়া ২ বজাৰলৈকে কৰিমগঞ্জৰ ভোটদানৰ হাৰ ৫৮ শতাংশ।	The voter turnout in Karimganj till 2 pm is 58 per cent.
প্ৰশ্ন হয়, এনে সমাগত ভয়াৱহ ভৱিষ্যতে অস্থিৰ কৰি তুলিব পৰা পৰিস্থিতি চম্ভালিবৰ বাবে চৰকাৰে অৰ্থৱহ  সুচিন্তিত আঁচনি এতিয়াই হাতত ল’ব নে? আমাৰ দৃষ্টিত সমগ্ৰ ৰাজ্যজুৰি বিগত কেইবছৰমান আগত পৰাই ধীৰ গতিৰে হ’লেও যুৱ চামৰ মাজত কৃষি তথা উৎপাদনী কৰ্মৰ প্ৰতি আগ্ৰহ বৃদ্ধি পাইছিল।	The question is, will the government come up with a meaningful, well-thought-out plan to deal with a destabilising situation in the near future? In our view, there has been a slow but growing interest in agriculture and manufacturing among young Chams across the state in the past few years.
গীতাৰ উদ্ধৃতি দি শর্মাহ কয়, শ্রীকৃষহ গীতাত কৈছে আমি লক্ষ্যত উপনীত হ’বলৈ হ’লে আমি আত্মাৰে পৰিপূর্ণতা হ’ব লাগিব৷	Quoting the Gita, Sharma said, Sri Krishna says in the Gita that in order for us to reach the goal, we must be filled with the Spirit.
অদ্ভূত কাণ্ড! এম্বুলেন্সত কোৰোনাত আক্ৰান্ত ৰোগীক উঠাই পথতেই পেলাই থৈ গ’ল হাত মোজা VIDEO	Strange incident! Corona patient picked up in ambulance and threw gloves on the road VIDEO
শেহতীয়াকৈ কয়লা আৰু বার্মিজ চুপাৰিৰ ব্যৱসায়ৰ বাবে ৰাজ্য চৰকাৰে নতুন এছ অ’ পি অনাৰ প্রস্তুতি চলোৱাৰ সময়তে এই ছিণ্ডিকেট চক্র অধিক সক্রিয় হৈ পৰা পৰিলক্ষিত হৈছে৷	Recently, this syndicate cycle has become more active when the state government is preparing to bring new SOPs for the business of coal and Burmese supari.
অৱশ্য দুই চাৰি জনে অধীক মুল্যতে পিয়াজ ক্ৰয় কৰি ১২০ টকা দৰত আজি বিক্ৰী কৰিবলৈ আৰম্ভ কৰে।	Two to four people bought onions at high prices and started selling them today at the rate of Rs 120.
ক্ষুব্ধ ৰাইজে দুৰ্ঘটনা সংঘটিত কৰা ট্ৰাকখন ৰাজপথতে জ্বলাই দিয়াৰ পাছত অগ্নিনিৰ্বাপক বাহিনীৰ জোৱান আহি ট্ৰাকখনৰ অৱশিষ্ট অংশ জুই নুমুৱাবলৈ সক্ষম হয়।	After the irate public set ablaze the ill-fated truck on the highway, the fire brigade personnel arrived and managed to douse the remaining portion of the truck.
কলা বজাৰৰ বাবে বজাৰত সাৰৰ কৃত্ৰিম নাটনি হয়৷	There is artificial distillation of manure in the market for black market.
দিল্লীত কূটাঘাত সংঘটিত কৰাৰ লক্ষ্য আছিল এই ৩ সন্ত্ৰাসবাদীৰ।	The 3 terrorists were aiming to carry out a strike in Delhi.
এই সময়চোৱাত জিলা দণ্ডাধিশৰ পৰা বিশেষ অনুমতি থকা লোকৰ বাহিৰে আন‌ সকলোৰে চলাচল সম্পূৰ্ণ বন্ধ থাকিব।	During this time, there will be a complete ban on the movement of all except those who have special permission from the district magistrate.
আৰু তাৰ ক্ষন্তেক পিছতে গাঁওৰক্ষী বাহিনীয়ে আৰক্ষীক অৱগত কৰে।	And soon after, the village guard informed the police.
কংগ্ৰেছে এই সমষ্টিটোত আব্দুল খালেকক প্ৰাৰ্থিত্ব প্ৰদান কৰাৰ বিপৰীতে অগপই বিজেপি আৰু বিপিএফৰ মিত্ৰদলৰ প্ৰাৰ্থী হিচাপে দীপক দাসক এই সমষ্টিটোত প্ৰতিদ্বন্দ্বিতাৰ বাবে প্ৰাৰ্থিত্ব প্ৰদান কৰিছে।	While the Congress has fielded Abdul Khaleque in the constituency, the AGP has fielded Dipak Das as the alliance candidate of the BJP and BPF.
অখিল গগৈৰ মুক্তিৰ দাবীৰে প্ৰধানমন্ত্ৰীলৈ আলফা স্বাধীনৰ পত্ৰ, VIDEO	ULFA-Independent writes to PM demanding release of Akhil Gogoi, VIDEO
দান-বৰঙনিৰে নিজাববীয়াকৈ পথ চোৱাৰ মেৰামতি কৰিবলৈ লৈ প্ৰশাসনৰ ওপৰত ক্ষোভ উজাৰে গঞাই।	The villagers are angry with the administration for repairing the road on their own with donations.
কোহলিৰ পাছত কোন? নাম ওলাইছে এইজন ক্ৰিকেটাৰৰ...	Who is next after Kohli?
ৰাষ্ট্রীয় আয়ুস অভিযানৰ অধীনত অসমৰ গোৱালপাৰাৰ দুধনৈত ৭০ কোটি টকা ব্যয় সাপেক্ষে এখন আয়ুর্বেদিক মহাবিদ্যালয়ৰ লগতে উত্তৰ–পূর্বাঞ্চলত ১০০খন আয়ুস ডিছপেনচাৰী, এহাজাৰটা স্বাস্থ্য আৰু সুস্থতা কেন্দ্র স্থাপন কৰিব৷	Under the National AYUSH Mission, an Ayurvedic College will be set up at Dudhnoi, Goalpara, Assam at a cost of ₹700 million along with 100 AYUSH Dispensaries, 1000 Health and Wellness Centres in the North-East.
চলচ্চিত্র আৰু ভ্রাম্যমাণ থিয়েটাৰৰ উপৰি অনুপমা ভট্টাচার্যৰ আন এক খ্যাতি আছে৷	Apart from films and mobile theatre, Anupama Bhattacharya has another reputation.
তাৰ মাজতে ২০০৮ চনৰ ৩ জুনত তেতিয়াৰ মন্ত্ৰী ৰিপুণ বৰাক নতুন দিল্লীৰ জুকাচ ইন হোটেলত চি বি আইক উৎকোচ দিয়াৰ অভিযোগত গ্ৰেপ্তাৰ কৰি টিহাৰ জেললৈ প্ৰেৰণ কৰা হৈছিল।	Meanwhile, on 3 June 2008, the then minister Ritu Bora was arrested and sent to Tihar Jail for allegedly bribing the CBI at the Zuccas Inn Hotel in New Delhi.
পিতৃ মহেশ ভট পৰিচালিত ছবি ‘ছড়ক-২’ৰ শ্বুটিঙত বৰ্তমান ব্যস্ত হৈ পৰিছে অভিনেত্ৰীগৰাকী।	The actress is currently busy shooting for Sadak 2, directed by her father Mahesh Bhatt.
এতিয়াৰে পৰা অসমৰ চুবুৰীয়া ৰাজ্য নাগালেণ্ডত কুকুৰ মাংসৰ কিনা-বেচা নিষিদ্ধ।	Purchase and sale of dog meat is now banned in Assam's neighbouring state Nagaland.
উল্লেখ্য যে, এছ বি আইৰ নতুন নিয়ম অনুসৰি ১ অক্টোবৰ, ২০১৯ৰ পাছত গ্ৰাহকে নিজৰ একাউণ্টৰ পৰা এমাহত মাত্ৰ ৩বাৰহে ধন বিনামূলীয়াকৈ জমা কৰিব পাৰিব।	According to the new rules of SBI, after October 1, 2019, customers will be able to deposit money from their account only 3 times a month for free.
আমি দুদিন বাংকাৰৰ ভিতৰত সুমাই আছিলো।	We slept in the bunker for two days.
কিন্তু কথা হ’ল যে যিখিনি কাম মই লৈছো হাতত তাৰে প্ৰায়খিনি কামে ইতিমধ্যে অনুমোদন হৈছে।	But the thing is that most of the work that I have taken up has already been approved.
কেইবাখনো বাহনত দীপক উঠাই তেওঁক লৈ যোৱা হ’ল বিদ্যালয়লৈ।	Deepak was picked up by several vehicles and taken to the school.
মুঠ ৭ দিনৰ ভিতৰত প্ৰতিষেধক সম্পন্ন কৰাৰ লক্ষ্য কৰিছে স্বাস্থ্য বিভাগে৷	The Department of Health aims to complete the vaccine in a total of 7 days.
ভৱিষ্যতে বিজ্ঞান শাখাত নাম ভৰ্তি কৰি চিকিৎসক হোৱাৰ মন ঋত্বিকে নিজকে এজন সুনাগৰিক হোৱাৰ লক্ষ্য ৰাখিছে।	In the future, Hrithik aims to become a doctor by enrolling in the science stream.
এই যুদ্ধই ইউক্রেইনত মৃত্যু মিছিল সৃষ্টি কৰিব আৰু তাৰ বাবে গোটেই বিশ্বই দায়ী কৰিব ৰাছিয়াক।	This war will create death marches in Ukraine for which the whole world will hold Russia responsible.
লগতে পঢ়কঃ নগাঁৱৰ অসামৰিক চিকিৎসালয়ত আলট্ৰাচাউণ্ড মেচিন চুৰিঃ ৰোগীৰ হাহাকাৰ শেহতীয়াকৈ লিডুস্থিত অগ্নিনিৰ্বাপক বাহিনী ঘটনাস্থলীত উপস্থিত হৈ অগ্নিনিৰ্বাপন কৰে যদিও অগ্নিনিৰ্বাপন বাহিনী আহি পোৱাৰ আগতেই প্ৰায় ২০ লক্ষাধিক টকাৰ সা-সামগ্ৰী জুইত জাহ যোৱাৰ সন্দেহ কৰা হৈছে।	Also Read: Ultrasound Machine Theft at Civil Hospital, Nagaon: Firefighters from Lidu rushed to the spot soon after the patient's call and doused the fire, however, it is suspected that goods worth around Rs 20 lakh were burnt before the firemen arrived.
ইফালে অধিনায়ক ৰাহেনেও উন্নত প্ৰদৰ্শনত ব্যৰ্থ হয়।	Meanwhile, captain Rahane also failed to perform well.
অনুগ্ৰহ কৰি নিজৰ আৰু পৰিয়ালৰ লোকৰ চিন্তা কৰক।	Please think of yourself and your family.
মহানগৰ আৰক্ষীৰ একাংশ অসাধু বিষয়াক মেনেজ কৰি অসাধু চক্রই গুৱাহাটীৰ বিভিন্ন স্থানত চলাইছে ঝাণ্ডি মুণ্ডাৰ জুৱা৷	Jhandi Munda's gambling is carried out at various places in Guwahati by unscrupulous gangs managing a section of dishonest officers of the city police.
প্রতিবাদী আছু কর্মীসকলে ‘নির্দোষী আছু কর্মীক বিনাচর্তে মুক্তি দিয়ক’, ‘এছ পি শ্বেতাংক মিশ্র গ’ বেক’, ‘অভিভাৱক মন্ত্রী অতুল বৰা হায় হায়’ আদি শ্লোগানযুক্ত বেনাৰ–ফেষ্টুন লৈ আৰক্ষীৰ নির্যাতনৰ বিৰুদ্ধে প্রতিবাদ সাব্যস্ত কৰে৷	The protesting AASU activists carried banners with slogans like'Release innocent AASU activists unconditionally ','SP Shwetank Mishra Go Back ','Guardian Minister Atul Bora Hai Hai'and protested against the police torture.
প্ৰতিৰক্ষা মন্ত্ৰী ৰাজনাথ সিঙৰ উপস্থিত এই ছাবমেৰিণখন নৌ সেনা সেৱাত সংযোগ কৰা হয়।	The submarine was commissioned in the presence of Defence Minister Rajnath Singh.
কিন্তু এনে সময়তে ৰাষ্ট্ৰপতি গৰাকীৰ নাম নৱেল বঁটাৰ মনোনয়নৰ বাবে আহ্বান জনোৱাৰ পাছতেই বিভিন্ন প্ৰশ্ন উত্থাপন হৈছে।	But at the same time, after the President's name was called for nomination for the Nobel Prize, various questions have been raised.
হিমন্ত বিশ্ব শৰ্মা চৰকাৰ মানে যেন এতিয়া একনায়কত্ববাদৰ চৰকাৰ ৷	The Himanta Biswa Sarma government is now a government of authoritarianism.
দুখৰ কথা যে- একাংশ শিক্ষিত আৰু জ্ঞানী লোকসকলেই এইবোৰ কামত আগশাৰীত থাকে।	Sadly, only a few educated and knowledgeable people are at the forefront of these activities.
দিল্লীৰ মুখ্যমন্ত্ৰী অৰবিন্দ কেজৰিৱালৰ মন্ত্ৰীসভাৰ এগৰাকী মন্ত্ৰীয়ে কৰা এটা টুইটক লৈ সৃষ্টি হৈছে তীব্ৰ প্ৰতিক্ৰিয়াৰ।	A tweet by a minister in Delhi Chief Minister Arvind Kejriwal's cabinet has sparked outrage.
বিবৃতি অনুসৰি অসমলৈ ৪৯০.৭৬ কোটি, অন্ধ্রপ্রদেশলৈ ৯০৫.৫৯ কোটি, বিহাৰলৈ ১৮৮৫.৬৯ কোটি, ছত্তিশগড়লৈ ১৩৭৪.০২ কোটি, গোৱালৈ ২৩৪.২৮ কোটি, গুজৰাটলৈ ৩৬০৮.৫৩ কোটি, হাৰিয়ানালৈ ২০৪৫.৭৯ কোটি, হিমাচল প্রদেশলৈ ৭৪৫.৯৫ কোটি, ঝাৰখণ্ডলৈ ৬৮৭.৭৬ কোটি, কর্ণাটকলৈ ৫০১০.৯০ কোটি, কেৰালালৈ ২৪১৮.৪৯ কোটি, মধ্যপ্রদেশলৈ ১৯৪০.২০ কোটি, মহাৰাষ্ট্রলৈ ৩৮১৪ কোটি, মেঘালয়লৈ ৩৯.১৮ কোটি, ওড়িশালৈ ১৭৭৯.৪৫ কোটি, পঞ্জাবলৈ ৩৫৩৭.৪৮ কোটি, ৰাজস্থানলৈ ২০১১.৪২ কোটি, তামিলনাডুলৈ ২২৪০.২২ কোটি, তেলেংগানালৈ ১২৬৪.৭৮ কোটি, ত্রিপুৰালৈ ১১১.৩৪ কোটি, উত্তৰ প্রদেশলৈ ২২৫২.৩৭ কোটি, উত্তৰাখণ্ডলৈ ৯২২.৩০ কোটি, পশ্চিমবংগলৈ ১৭৭৮.১৬ কোটি, দিল্লীলৈ ১৭১৩.৩৪ কোটি, জম্মু–কাশ্মীৰলৈ ১০৬৪.৪৪ কোটি আৰু পুডুচেৰীলৈ ৩০৩.৫৬ কোটি টকা৷	According to the statement, Assam 490.76 crore, 905.59 crore to Andhra Pradesh, 1885.69 crore to Bihar, 1374.02 crore to Chhattisgarh, 234.28 crore to Goa, 3608.53 crore to Gujarat, 2045.79 crore to Haryana, 745.95 crore to Himachal Pradesh, 687.76 crore to Jharkhand, 5010.90 crore to Karnataka, 2418.49 crore to Kerala, 1940.20 crore to Madhya Pradesh, 1779.45 crore to Maharashtra, 39.18 crore to Meghalaya, 1779.45 crore to Odisha, 3537.48 crore to Punjab, 2011.42 crore to Rajasthan, 2240.22 crore to Tamil Nadu, 1264.78 crore to Telangana, 111.34 crore to Tripura, 2252.37 crore to Uttar Pradesh, 922.30 crore to Uttarakhand, 1778.16 crore to West Bengal, 1713.34 crore to Delhi, 1713.34 crore to Jammu and Kashmir, 303.56 crore to Puducherry.
জানিবপৰা মতে অসম মেঘালয় সীমান্তৱৰ্তী প্ৰাকৃতিক প্ৰাচুৰ্য্যৰে পৰিপুষ্ট তথা অঞ্চলটোৰ কঁঠালগুৰি গাঁৱত আঘাতপ্ৰাপ্ত হৈ হলৌ বান্দৰটিয়ে চটফটাই থকা অৱস্থাত স্থানীয় লোকে প্ৰত্যক্ষ কৰি বন বিভাগক খৱৰ দিয়ে।	Locals reportedly alerted the forest department when they saw the injured Hlou monkey lying motionless in Kanthalguri village in the region, which is endowed with natural beauty and borders Assam and Meghalaya.
ভীম আৰ্মীৰ অধ্যক্ষ চন্দ্ৰশেখৰ আজাদৰ এখন আবেদনৰ শুনানি গ্ৰহণ কৰি বোম্বে উচ্চ ন্যায়ালয়ে কয় যে ৰেলী আৰু জনসভা সমূহে দেশত চেফ্টী বাল্ব’ৰ দৰে কাম কৰে।	Hearing a petition by Bhim Army chief Chandrashekhar Azad, the Bombay High Court said that rallies and public meetings act like safety bulbs in the country.
উল্লেখ্য যে, যোৱা ২১ নৱেম্বৰত গুজৰাটৰ আহমেদাবাদৰ এক পথ দুৰ্ঘটনাত পতিত হৈছিল পুৰন্দৰ ৰায়।	It may be recalled that on November 21, Purandar Rai had met with a road accident in Ahmedabad, Gujarat.
ঘটনা সন্দৰ্ভত বজালী জিলা আৰক্ষী অধীক্ষক ধৰ্মেন্দ্ৰ কুমাৰে দাসে আজি সংবাদ মাধ্যমক জানিবলৈ দিয়া অনুসৰি কালি সন্ধিয়া বজালী জিলাৰ পাটাছাৰকুছি থানাৰ অন্তৰ্গত নিত্যানন্দ গোসাইপাৰাৰ পুৰবী দাস নামৰ এগৰাকী ২২ বছৰীয়া যুৱতীয়ে বজালীৰ বাঘমাৰা নিৱাসী চিকিৎসক ডাঃ বিশালজ্যোতি কলিতাৰ গৃহৰ পৰা প্ৰায় পাঁচ লাখ টকা মূল্যৰ সোনৰ অলংকাৰ লৈ পলায়ন কৰে৷	Bajali district Superintendent of Police Dharmendra Kumar Das today informed the media that a 22-year-old girl named Purbi Das of Nityananda Gosaipara under Patacharkuchi police station in Bajali district fled with gold ornaments worth around Rs 5 lakh from the house of Dr. Bishaljyoti Kalita, a resident doctor of Baghmara, Bajali last evening.
কিয়নো আমাৰ পক্ষৰে হওঁক বা শত্ৰু পক্ষৰে হওঁক, যিজন মানুহ বোমা বিস্ফোৰণত নিহততেওঁ এগৰাকী মাতৃৰে সন্তান।	Because whether on our side or on the enemy's side, the person killed in the bomb blast is also the child of a mother.
যোৰহাটত বিজেপি প্ৰাৰ্থী তপন গগৈৰ বিৰুদ্ধে কংগ্ৰেছৰ সুশান্ত বৰগোহাঁইৰ যুঁজ।	In Jorhat, BJP candidate Tapan Gogoi is up against Congress'Sushanta Borgohain.
এই অঞ্চলত স্বাভাৱিকতকৈ বেছি তাপমাত্রাৰ পূর্বাভাস দিয়া হৈছে।	Above-normal temperatures are forecast in the region.
আৰু হিন্দী-ইংৰাজী নজনা এইগৰাকী মহিলাক অসমীয়াতে ‘কেনে আছে’ বুলি সোধাৰ লগতে তেওঁ হিন্দী-অসমীয়া মিশ্ৰিত শব্দৰে লৈছিল মনৰ খবৰ।	And when the woman, who did not know Hindi-English, asked her'how is it'in Assamese, she replied with a Hindi-Assamese mix.
কলাত্মক চিন্তা, জীৱনবোধ বিষয়ক চিনেমা নিৰ্মাণেৰে তেখেতে খ্যাতি অৰ্জন কৰিছে৷	He is known for his artistic thinking, making movies with a sense of life.
অনুষ্ঠানৰ দিনা পুৱা ৯-০০ বজাত বিশিষ্ট ব্যক্তিসকলৰ দ্বাৰা পথৰ দাঁতিত গছপুলি ৰোপন কৰি অনুষ্ঠানটিৰ শুভাৰম্ভ কৰা হব।	On the day of the event, the event will be flagged off at 9-00 am by the dignitaries by planting saplings on the roadside.
একেদৰে মিত্ৰদলৰ প্ৰাৰ্থী জাবেদ ইছলামৰ ক্ষেত্ৰতো একেই প্ৰসংগ উত্থাপন কৰি জাবেদ ইছলামকো সমালোচনা কৰে চৌধুৰীয়ে।	Similarly, Chowdhury criticised Javed Islam by making the same reference to the coalition candidate Javed Islam.
মমী দাস।	My mother is a slave.
আৰ বি আইৰ এই নিষেধাজ্ঞা অহা ৬ মাহলৈকাৰ্যকৰী হ’ব।	The RBI's ban will be effective for the next six months.
নিয়মীয়া বাৰ্তা, ২ ফেব্ৰুৱাৰী : মাজুলীৰ দক্ষিণপাত সত্ৰৰ কাষৰ মাগুৰমাৰী বিলৰ পাৰত নেচনেল গ্ৰীন ক্ৰপছ(NGC)ASSAM ৰ মাজুলী জিলাৰ ডি এন এ উজনি মাজুলী আৰ্যভট্ট বিজ্ঞান কেন্দ্ৰৰ উদ্যোগত মাজুলী জিলা বনবিভাগৰ সহযোগত আৰু ভাৰত চৰকাৰৰ সামাজিক বন মন্তনালয় ,অসম বিজ্ঞান প্ৰযুক্তি বিদ্যা আৰু পৰিবেশ পৰিষদৰ পৃষ্ঠপোষকতাত বিশ্ব জলাশয় দিৱস উদযাপন কৰা হয়।	Regular message, 2nd February: World Wetlands Day is celebrated on the banks of Magurmari Beel near Dakshin Pat Satra in Majuli under the initiative of DNA Ujani Majuli Aryabhatta Science Centre of National Green Crops (NGC) ASSAM, Majuli district in collaboration with Majuli District Forest Department and sponsored by Assam Science Technology and Environment Council, Ministry of Social Forestry, Government of Assam.
আনহাতে প্ৰতিবাদী সংগঠনকেইটাই কয় যে ধনৰ বিনিময়ত কুঠৰী বীটৰ বন বিষয়া আৰু ফৰেষ্ট গাৰ্ডৰ অনুমতিসাপেক্ষে কাঠ কাটিবলৈ বনাঞ্চলত প্ৰৱেশ কৰিছিল।	On the other hand, the protesting organizations said that they entered the forest to cut wood with the permission of the forest officials and forest guards of Kuthri beat in exchange for money.
স্ক: চান্দাক লৈ হঠাতে সৰব হৈছে ৰাজ্যিক বিজেপি৷	SK: Suddenly, the state BJP is up in arms over Sanda.
আৰক্ষীৰ দলে সন্দেজনক ভানখন পৰীক্ষা কৰিবলৈ লওতেই ডকাইতৰ দলটোৱে আৰক্ষীৰ দলক লক্ষ্য কৰি গুলি চলায়।	As the police team took the suspect to check the van, the robbers'gang opened fire at the police team.
ঠিক তেনেকৈয়ে আলিয়া ভট্টৰো আছে বিট্ৰিছ নাগৰিকত্ব।	Similarly, Alia Bhatt also has British citizenship.
আপোনাৰ সুযোগ লৈ কোনোবাই আপোনাক ক্ষতি কৰিব পাৰে৷	Someone can harm you by taking advantage of you.
ৰাজ্যত জাপানীজ এনকেফেলাইটিছত আক্ৰান্ত হৈ পুনৰ এজনৰ মৃত্যু	One more person has died of Japanese Encephalitis in the state.
আমি সকলো নিয়ম মানি শীঘ্রেই ভেকচিন প্রদান কৰিব লাগে৷	We should give the vaccine as soon as possible by following all the rules.
পুলিচকো তেওঁ পুত্ৰৰ অত্যাচাৰৰ কথা জনাইছিল।	He also told the police about his son's torture.
আনহাতে বন্ধ বা প্ৰতিবাদৰ সময়ত ৰাজহুৱা বা ব্যক্তিগত সম্পত্তি নষ্ট কৰা কাৰ্যত জড়িতসকলক মুখ্য ন্যায়িক দণ্ডাধীশ পৰ্যায়ৰ ন্যায়াধীশে শাস্তি বিহিব পাৰিব।	While those involved in acts of destruction of public or private property during bandhs or protests can be punished by a chief judicial magistrate-level judge.
চিৰবৈৰী পাকিস্তানৰ বিৰুদ্ধে ২৪অক্টোবৰত মুখামুখি হ’ব ভাৰত।	India will take on arch-rivals Pakistan on October 24.
উৰুকাৰ প্ৰাকক্ষণত মুখ্যমন্ত্ৰীক ১০ কেজি ওজনৰ চিতল মাছ উপহাৰ	Chital fish weighing 10 kg gifted to CM on the eve of Urukka
আনহাতে সাঁত লগাৰ পৰা শুদ্ধি নোহোৱা পৰ্যন্ত কৃষক সকলে কৃষি কৰ্ম যেনে- হাল বোৱা, কোৰ মৰা আদি কাম কৰাৰ পৰা বিৰত থাকে।	On the other hand, farmers abstain from agricultural activities such as ploughing, mowing, etc. until they are clean from swimming.
নাৰায়ণপুৰত বিধ্বস্ত পথে জমৰ যাতনা ভোগাইছে জনতাক, খবৰ লবলৈ আহৰি নাই জনপ্ৰতিনিধিৰ, VIDEO	Damaged road in Narayanpur hurts people, no representative has come to take notice, VIDEO
উল্লেখ্য যে, ধৃত মহিলাগৰাকী ঘটনাটোত প্ৰত্যক্ষভাৱে জড়িত নাছিল যদিও ঘটনা সন্দৰ্ভত তেওঁ অৱগত বুলি আৰক্ষীৰ আগত মুখ খুলিছে।	It is to be noted that the accused woman was not directly involved in the incident but has revealed to the police that she is aware of the incident.
ইমান কৈছিলো, এই সব নাখাবি।	I said, don't eat all this.
তিনিচুকীয়াত বনকৰ্মীৰ গুলীচালনা।	Firing by forest personnel on duty.
এ আই ইউ ডি এফৰ কোটিপতিৰ সংখ্যা ১জন।	The number of AIUDF crorepatis is 1.
মন্ত্ৰী হিমন্ত বিশ্ব শৰ্মাৰ গুৰুত্বপূৰ্ণ সংবাদমেল, কৰিলে কেবাটাও ঘোষণা, চাওঁক VIDEO	Minister Himanta Biswa Sarma's important press conference, made some announcements, watch video
কণ্টেইনমেণ্ট জ’ন ঘোষণা ধীৰেণপাৰা, পূব শৰণীয়াত।	Containment Zone declared at Dhirenpara, East Sarnia.
শিক্ষা আধাতে বাদ দি কিছুদিন এনেই থকাৰ পাছত কাপোৰ ব্যৱসায়ী আৰম্ভ কৰি আজিলৈ এই ব্যৱসায়ী কৰি থকাৰ কথা মাতৃগৰাকীয়ে উল্লেখ কৰি কোনো দিনে লৰাজন ঘৰৰ পৰা বিহিৰ নহৈ কেৱল ব্যৱসায়ী সমাপ্ত হোৱাৰ পাছত ঘৰতেই থকাৰ কথা উল্লেখ কৰে।	The mother mentioned that after leaving education for a few days, she started a cloth merchant and continues to do this business to this day, adding that Lazarus never left home, but only stayed home after the merchant was finished.
দুৰ্বৃত্তই কিমান টকা লুটি নিলে জানিব পৰা নাই।	It is not known how much money was stolen.
আনফালে মঙলাবাৰে উত্তৰাখণ্ডত সংঘটিত হৈছে আন এটা দুৰ্ঘটনা।	On the other hand, another accident has occurred in Uttarakhand five times.
বর্মন দেৱক ফুলাম গামোছা, ফুলাম জাপি, বটাঁ, মানপত্র প্রদান কৰে৷	The Burman deity is presented with a phulam gamosa, phulam japi, batan, and certificate.
গ্ৰেপ্তাৰ কৰা লোক কেইজন হৈছে হীৰকৰ মাতৃ ৰীণা দেৱী, জ্যেষ্ঠ ভগ্নী চুম্পী দেৱী, ভিনিয়েক আনন্দ নাথ আৰু স্থানীয় প্ৰহ্লাদ নাথ।	The arrested persons are Hirak's mother Reena Devi, elder sister Chumpi Devi, brother-in-law Anand Nath and a local Prahlad Nath.
যিখনত লক্ষ্মী আগৰৱালৰ চৰিত্ৰত অভিনয় কৰিছে অভিনেত্ৰীগৰাকীয়ে।	In which the actress plays the role of Laxmi Agarwal.
